keyword_id,keyword,parent_pillar,cluster,search_intent,funnel_stage,est_monthly_volume,est_keyword_difficulty,serp_strength,business_value,freshness_sensitivity,content_type,page_type,programmatic_suitability,featured_snippet_opportunity,ai_overview_potential,comparison_intent,affiliate_intent,local_intent,priority_score
S1-0001,install,Local Inference Runtimes,Ollama Setup & Optimization,Informational / How-To,TOFU,317,19,Weak (Forums / Deprecated Code),High (Dev Tools / GPU Affiliate),High (2026),Technical Guide / Code Snippet,Technical Tutorial,Medium,High,Very High,Low,Medium,None,80.4
S1-0002,how to install,Local Inference Runtimes,Ollama Setup & Optimization,Informational / How-To,TOFU,334,26,Weak (Forums / Deprecated Code),High (Dev Tools / GPU Affiliate),High (2026),Technical Guide / Code Snippet,Technical Tutorial,Medium,High,Very High,Low,Medium,None,72.1
S1-0003,best install guide,Local Inference Runtimes,Ollama Setup & Optimization,Commercial Investigation,MOFU,351,33,Weak (Forums / Deprecated Code),High (Dev Tools / GPU Affiliate),High (2026),Technical Guide / Code Snippet,Comparison Matrix / Guide,Medium,High,Very High,High,High,None,63.9
S1-0004,install tutorial 2026,Local Inference Runtimes,Ollama Setup & Optimization,Informational / How-To,TOFU,368,40,Weak (Forums / Deprecated Code),High (Dev Tools / GPU Affiliate),High (2026),Technical Guide / Code Snippet,Technical Tutorial,Medium,High,Very High,Low,Medium,None,55.7
S1-0005,install vs alternative,Local Inference Runtimes,Ollama Setup & Optimization,Commercial Investigation,MOFU,385,12,Weak (Forums / Deprecated Code),High (Dev Tools / GPU Affiliate),High (2026),Technical Guide / Code Snippet,Comparison Matrix / Guide,Medium,High,Very High,High,High,None,89.4
S1-0006,gpu acceleration,Local Inference Runtimes,Ollama Setup & Optimization,Informational,TOFU,402,19,Weak (Forums / Deprecated Code),High (Dev Tools / GPU Affiliate),High (2026),Technical Guide / Code Snippet,Deep Reference Guide,Medium,High,Very High,Low,Low,None,81.2
S1-0007,how to gpu acceleration,Local Inference Runtimes,Ollama Setup & Optimization,Informational / How-To,TOFU,419,26,Weak (Forums / Deprecated Code),High (Dev Tools / GPU Affiliate),High (2026),Technical Guide / Code Snippet,Technical Tutorial,Medium,High,Very High,Low,Medium,None,73.0
S1-0008,best gpu acceleration guide,Local Inference Runtimes,Ollama Setup & Optimization,Commercial Investigation,MOFU,436,33,Weak (Forums / Deprecated Code),High (Dev Tools / GPU Affiliate),High (2026),Technical Guide / Code Snippet,Comparison Matrix / Guide,Medium,High,Very High,High,High,None,64.8
S1-0009,gpu acceleration tutorial 2026,Local Inference Runtimes,Ollama Setup & Optimization,Informational / How-To,TOFU,453,40,Weak (Forums / Deprecated Code),High (Dev Tools / GPU Affiliate),High (2026),Technical Guide / Code Snippet,Technical Tutorial,Medium,High,Very High,Low,Medium,None,56.5
S1-0010,gpu acceleration vs alternative,Local Inference Runtimes,Ollama Setup & Optimization,Commercial Investigation,MOFU,470,12,Weak (Forums / Deprecated Code),High (Dev Tools / GPU Affiliate),High (2026),Technical Guide / Code Snippet,Comparison Matrix / Guide,Medium,High,Very High,High,High,None,90.3
