keyword_id,keyword,parent_region,country,city,amenity_facet,search_intent,funnel_stage,est_monthly_volume,est_keyword_difficulty,serp_strength,business_value,freshness_sensitivity,content_type,page_type,programmatic_suitability,featured_snippet_opportunity,ai_overview_potential,comparison_intent,affiliate_intent,local_intent,priority_score
S2-0001,best coliving in Madeira verified high speed fiber wifi,Europe,Portugal,Madeira,verified high speed fiber wifi,Commercial Investigation,MOFU,163,13,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),87.5
S2-0002,Madeira workation spaces with verified high speed fiber wifi,Europe,Portugal,Madeira,verified high speed fiber wifi,Informational / Navigational,TOFU,176,18,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),82.2
S2-0003,Madeira Portugal remote work verified high speed fiber wifi,Europe,Portugal,Madeira,verified high speed fiber wifi,Informational / Navigational,TOFU,189,23,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),76.8
S2-0004,best coliving in Madeira ergonomic chairs standing desks,Europe,Portugal,Madeira,ergonomic chairs standing desks,Commercial Investigation,MOFU,202,28,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),71.4
S2-0005,Madeira workation spaces with ergonomic chairs standing desks,Europe,Portugal,Madeira,ergonomic chairs standing desks,Informational / Navigational,TOFU,215,33,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),66.1
S2-0006,Madeira Portugal remote work ergonomic chairs standing desks,Europe,Portugal,Madeira,ergonomic chairs standing desks,Informational / Navigational,TOFU,228,10,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),91.5
S2-0007,best coliving in Madeira private soundproof phone call booths,Europe,Portugal,Madeira,private soundproof phone call booths,Commercial Investigation,MOFU,241,15,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),86.2
S2-0008,Madeira workation spaces with private soundproof phone call booths,Europe,Portugal,Madeira,private soundproof phone call booths,Informational / Navigational,TOFU,254,20,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),80.8
S2-0009,Madeira Portugal remote work private soundproof phone call booths,Europe,Portugal,Madeira,private soundproof phone call booths,Informational / Navigational,TOFU,267,25,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),75.5
S2-0010,best coliving in Madeira backup generator battery power ups,Europe,Portugal,Madeira,backup generator battery power ups,Commercial Investigation,MOFU,280,30,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),70.1
S2-0011,Madeira workation spaces with backup generator battery power ups,Europe,Portugal,Madeira,backup generator battery power ups,Informational / Navigational,TOFU,293,35,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),64.8
S2-0012,Madeira Portugal remote work backup generator battery power ups,Europe,Portugal,Madeira,backup generator battery power ups,Informational / Navigational,TOFU,306,12,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),90.2
S2-0013,best coliving in Madeira monthly private room rates cost,Europe,Portugal,Madeira,monthly private room rates cost,Transactional / Commercial,BOFU,319,17,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Property Pricing & Booking Directory,Extremely High (100%),High,High,High,Very High,High (City specific),84.8
S2-0014,Madeira workation spaces with monthly private room rates cost,Europe,Portugal,Madeira,monthly private room rates cost,Transactional / Commercial,BOFU,332,22,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Property Pricing & Booking Directory,Extremely High (100%),High,High,High,Very High,High (City specific),79.5
S2-0015,Madeira Portugal remote work monthly private room rates cost,Europe,Portugal,Madeira,monthly private room rates cost,Transactional / Commercial,BOFU,345,27,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Property Pricing & Booking Directory,Extremely High (100%),High,High,High,Very High,High (City specific),74.1
S2-0016,best coliving in Madeira digital nomad visa requirements,Europe,Portugal,Madeira,digital nomad visa requirements,Commercial Investigation,MOFU,358,32,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),68.8
S2-0017,Madeira workation spaces with digital nomad visa requirements,Europe,Portugal,Madeira,digital nomad visa requirements,Informational / Navigational,TOFU,371,9,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),94.2
S2-0018,Madeira Portugal remote work digital nomad visa requirements,Europe,Portugal,Madeira,digital nomad visa requirements,Informational / Navigational,TOFU,384,14,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),88.9
S2-0019,best coliving in Madeira quiet focused coworking spaces,Europe,Portugal,Madeira,quiet focused coworking spaces,Commercial Investigation,MOFU,397,19,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),83.5
S2-0020,Madeira workation spaces with quiet focused coworking spaces,Europe,Portugal,Madeira,quiet focused coworking spaces,Informational / Navigational,TOFU,410,24,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),78.2
S2-0021,Madeira Portugal remote work quiet focused coworking spaces,Europe,Portugal,Madeira,quiet focused coworking spaces,Informational / Navigational,TOFU,423,29,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),72.8
S2-0022,best coliving in Madeira community coliving for remote developers,Europe,Portugal,Madeira,community coliving for remote developers,Commercial Investigation,MOFU,436,34,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),67.4
S2-0023,Madeira workation spaces with community coliving for remote developers,Europe,Portugal,Madeira,community coliving for remote developers,Informational / Navigational,TOFU,449,11,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),92.9
S2-0024,Madeira Portugal remote work community coliving for remote developers,Europe,Portugal,Madeira,community coliving for remote developers,Informational / Navigational,TOFU,462,16,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),87.5
S2-0025,best coliving in Madeira walkability score nearby gyms cafes,Europe,Portugal,Madeira,walkability score nearby gyms cafes,Commercial Investigation,MOFU,475,21,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),82.2
S2-0026,Madeira workation spaces with walkability score nearby gyms cafes,Europe,Portugal,Madeira,walkability score nearby gyms cafes,Informational / Navigational,TOFU,488,26,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),76.8
S2-0027,Madeira Portugal remote work walkability score nearby gyms cafes,Europe,Portugal,Madeira,walkability score nearby gyms cafes,Informational / Navigational,TOFU,501,31,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),71.5
S2-0028,best coliving in Madeira short term vs 30 day stay prices,Europe,Portugal,Madeira,short term vs 30 day stay prices,Transactional / Commercial,BOFU,514,8,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Property Pricing & Booking Directory,Extremely High (100%),High,High,High,Very High,High (City specific),96.9
S2-0029,Madeira workation spaces with short term vs 30 day stay prices,Europe,Portugal,Madeira,short term vs 30 day stay prices,Transactional / Commercial,BOFU,527,13,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Property Pricing & Booking Directory,Extremely High (100%),High,High,High,Very High,High (City specific),91.6
